sex,age,Pstatus,Fedu,Medu,guardian,studytime,traveltime,failures,famrel,freetime,absences
F,18.0,A,4,4,mother,2,2.0,0,4,3.0,6
F,17.0,T,1,1,father,2,1.0,0,5,3.0,4
F,15.0,T,1,1,mother,2,1.0,3,4,3.0,10
F,15.0,T,2,4,mother,3,1.0,0,3,2.0,2
F,,T,3,3,father,2,1.0,0,4,3.0,4
M,16.0,T,3,4,mother,2,1.0,0,5,4.0,10
M,16.0,T,2,2,mother,2,1.0,0,4,4.0,0
F,17.0,A,4,4,mother,2,2.0,0,4,1.0,6
M,15.0,A,2,3,mother,2,1.0,0,4,2.0,0
M,15.0,T,4,3,mother,2,1.0,0,5,5.0,0
F,15.0,T,4,4,mother,2,1.0,0,3,3.0,0
F,15.0,T,1,2,father,3,3.0,0,5,2.0,4
M,15.0,T,4,4,father,1,1.0,0,4,3.0,2
M,15.0,T,3,4,mother,2,2.0,0,5,4.0,2
M,15.0,A,2,2,other,3,1.0,0,4,5.0,0
F,16.0,T,4,4,mother,1,1.0,0,4,4.0,4
F,16.0,T,4,4,mother,3,1.0,0,3,2.0,6
F,16.0,T,3,3,mother,2,3.0,0,5,3.0,4
M,17.0,T,2,3,mother,1,1.0,3,5,5.0,16
M,16.0,T,3,4,father,1,1.0,0,3,1.0,4
M,15.0,T,3,4,mother,2,1.0,0,4,4.0,0
M,15.0,T,4,4,father,1,1.0,0,5,4.0,0
M,16.0,T,2,4,mother,2,1.0,0,4,5.0,2
M,16.0,T,2,2,mother,2,2.0,0,5,4.0,0
F,15.0,T,4,2,mother,3,1.0,0,4,3.0,2
F,16.0,T,2,2,mother,1,1.0,2,1,2.0,14
M,15.0,T,2,2,mother,1,1.0,0,4,2.0,2
M,15.0,T,2,4,mother,1,1.0,0,2,2.0,4
M,16.0,A,4,3,mother,2,1.0,0,5,3.0,4
M,16.0,T,4,4,mother,2,1.0,0,4,4.0,16
M,15.0,T,4,4,mother,2,1.0,0,5,4.0,0
M,15.0,T,4,4,mother,2,2.0,0,4,,0
M,15.0,T,3,4,mother,2,1.0,0,4,5.0,0
M,15.0,T,3,3,mother,2,1.0,0,5,,0
M,16.0,T,2,3,mother,1,1.0,0,5,4.0,0
F,15.0,T,3,2,father,1,2.0,0,3,5.0,0
M,15.0,T,3,4,mother,3,1.0,0,5,4.0,2
M,16.0,A,4,4,mother,3,2.0,0,2,4.0,7
F,15.0,T,4,3,mother,3,1.0,0,4,3.0,2
F,15.0,T,2,2,mother,1,1.0,0,4,3.0,8
F,16.0,T,2,2,mother,2,2.0,1,3,3.0,25
M,15.0,T,4,4,other,1,1.0,0,5,4.0,8
M,15.0,T,4,4,father,2,1.0,0,4,3.0,2
M,15.0,T,2,2,father,1,1.0,0,5,4.0,0
F,16.0,T,2,2,father,2,2.0,1,4,3.0,14
F,15.0,A,3,4,mother,2,1.0,0,5,2.0,8
F,16.0,A,3,3,mother,2,1.0,0,2,3.0,12
M,16.0,T,3,4,mother,4,1.0,0,4,2.0,4
M,15.0,T,2,4,mother,2,1.0,0,4,3.0,2
F,15.0,T,4,4,father,2,1.0,1,4,4.0,2
F,16.0,T,2,2,mother,2,3.0,0,4,3.0,2
F,15.0,T,2,4,mother,2,1.0,0,4,3.0,2
M,15.0,A,2,4,father,1,2.0,1,5,5.0,6
F,15.0,T,4,4,mother,1,1.0,0,3,3.0,0
F,15.0,A,3,3,mother,1,1.0,0,5,3.0,6
F,16.0,A,1,2,mother,2,1.0,0,5,3.0,8
F,15.0,A,3,4,mother,2,1.0,0,4,3.0,0
M,15.0,T,4,4,mother,2,1.0,0,3,2.0,4
M,15.0,T,2,1,father,2,1.0,0,4,3.0,2
F,16.0,T,2,4,mother,2,1.0,0,4,2.0,2
F,16.0,T,4,4,mother,2,1.0,0,2,4.0,6
F,16.0,T,1,1,father,1,4.0,0,5,5.0,6
F,16.0,T,2,1,father,2,1.0,0,4,4.0,4
F,16.0,T,3,4,mother,3,1.0,0,3,4.0,2
F,15.0,T,3,4,father,2,1.0,0,4,4.0,0
F,16.0,T,3,4,mother,2,3.0,0,5,4.0,2
M,15.0,A,4,4,mother,4,,0,1,3.0,4
F,16.0,T,1,3,mother,4,1.0,0,4,3.0,4
F,15.0,T,2,2,mother,2,2.0,0,4,1.0,2
F,15.0,T,1,3,father,4,2.0,0,4,4.0,12
M,16.0,T,1,3,father,4,2.0,0,4,3.0,0
M,15.0,T,2,4,mother,4,1.0,0,3,3.0,0
F,15.0,T,1,1,mother,2,1.0,2,3,3.0,2
M,16.0,T,1,3,mother,1,1.0,0,5,3.0,2
F,16.0,T,3,3,mother,2,1.0,0,4,3.0,54
M,15.0,T,3,4,mother,2,1.0,0,4,3.0,6
M,15.0,T,0,4,mother,4,2.0,0,3,4.0,8
F,16.0,T,2,2,mother,4,1.0,0,5,2.0,0
M,17.0,T,1,2,mother,1,2.0,3,4,5.0,2
F,16.0,T,4,3,mother,2,1.0,0,2,4.0,12
M,15.0,T,3,2,father,1,1.0,0,3,2.0,2
M,15.0,T,3,2,mother,3,1.0,0,5,3.0,4
F,15.0,T,2,3,mother,2,1.0,0,4,4.0,10
M,15.0,T,2,2,mother,2,2.0,0,5,3.0,4
F,15.0,T,1,1,father,2,1.0,0,4,3.0,2
F,15.0,T,4,4,father,2,2.0,2,4,4.0,6
F,16.0,T,2,2,mother,2,1.0,0,4,3.0,4
F,15.0,T,2,4,mother,3,1.0,0,5,3.0,4
M,16.0,T,2,2,father,2,2.0,1,4,4.0,12
M,16.0,A,4,4,mother,2,1.0,0,4,1.0,18
F,16.0,T,3,3,mother,3,1.0,0,4,3.0,0
F,15.0,T,3,4,mother,1,1.0,0,4,5.0,4
F,16.0,T,1,3,father,2,1.0,0,3,3.0,4
F,16.0,T,2,4,mother,2,2.0,0,5,3.0,0
M,15.0,T,2,2,mother,4,1.0,0,4,3.0,6
F,15.0,T,1,1,mother,4,2.0,1,3,1.0,2
M,,T,3,4,mother,1,2.0,0,3,3.0,2
F,16.0,T,1,2,mother,2,1.0,0,4,,2
F,16.0,T,4,4,mother,1,1.0,0,5,3.0,6
F,16.0,T,3,4,mother,3,1.0,0,5,3.0,0
M,16.0,T,4,4,mother,1,1.0,0,4,5.0,14
M,16.0,T,4,4,father,3,1.0,0,4,4.0,0
M,15.0,T,4,4,mother,1,1.0,0,5,3.0,4
F,15.0,T,2,3,mother,2,2.0,0,4,3.0,26
M,15.0,A,4,3,mother,2,1.0,0,5,4.0,0
F,15.0,A,3,3,father,4,1.0,0,4,3.0,10
F,15.0,T,2,2,mother,4,1.0,0,5,1.0,8
M,16.0,T,3,3,father,3,1.0,0,5,3.0,2
M,15.0,T,4,4,father,4,4.0,0,1,3.0,6
F,16.0,T,4,4,mother,3,1.0,0,5,4.0,4
M,15.0,A,4,4,mother,1,1.0,0,5,5.0,6
F,16.0,T,3,3,father,3,1.0,1,4,1.0,0
F,16.0,T,2,2,mother,2,1.0,1,3,1.0,6
M,15.0,T,2,4,mother,1,1.0,0,3,5.0,10
M,15.0,T,1,2,mother,2,1.0,0,5,4.0,8
M,16.0,T,4,4,father,2,1.0,0,5,4.0,2
M,15.0,T,4,4,father,2,2.0,0,4,4.0,2
M,16.0,T,3,3,father,1,2.0,0,5,4.0,0
M,17.0,T,3,1,father,2,3.0,1,5,2.0,20
M,15.0,T,4,3,father,1,1.0,0,3,4.0,6
F,15.0,T,2,1,mother,2,1.0,0,3,2.0,2
M,15.0,T,2,2,father,4,1.0,0,5,5.0,6
F,16.0,T,4,2,father,2,2.0,0,4,2.0,2
M,16.0,T,4,4,mother,1,1.0,0,3,4.0,18
F,16.0,T,2,2,mother,2,1.0,0,5,4.0,0
M,15.0,T,4,3,father,1,1.0,0,5,5.0,0
F,15.0,A,4,3,mother,2,1.0,0,5,3.0,0
F,19.0,T,1,0,other,2,1.0,3,3,4.0,2
M,18.0,T,2,2,mother,1,1.0,2,3,3.0,0
M,16.0,T,4,4,mother,1,1.0,0,3,5.0,8
F,15.0,T,4,3,father,3,2.0,2,4,2.0,0
F,15.0,T,1,1,mother,1,3.0,0,4,3.0,0
F,17.0,T,2,2,father,1,1.0,0,3,4.0,12
F,16.0,A,4,3,father,1,1.0,0,3,2.0,16
M,15.0,T,4,3,mother,2,4.0,0,5,3.0,0
F,15.0,T,4,4,mother,3,1.0,0,4,3.0,0
M,17.0,T,4,3,mother,2,3.0,0,5,4.0,0
F,16.0,A,3,3,other,1,2.0,2,4,3.0,0
M,16.0,T,1,1,mother,2,1.0,1,4,4.0,0
F,15.0,T,4,4,mother,1,2.0,0,4,3.0,0
M,15.0,T,3,4,father,4,2.0,0,2,2.0,0
M,16.0,T,2,2,father,1,2.0,2,2,3.0,8
F,15.0,T,4,4,mother,3,1.0,0,4,2.0,2
F,16.0,T,1,1,mother,1,1.0,0,3,4.0,2
M,17.0,T,1,2,mother,1,1.0,3,5,4.0,0
F,15.0,T,1,1,father,2,1.0,0,4,4.0,0
F,15.0,T,2,3,father,2,1.0,3,3,3.0,0
F,15.0,T,2,1,mother,2,1.0,0,4,3.0,2
M,16.0,T,4,4,mother,1,1.0,0,3,3.0,0
M,15.0,A,1,2,mother,1,4.0,3,4,5.0,0
M,18.0,T,1,1,mother,1,1.0,3,2,3.0,0
M,16.0,T,1,2,mother,1,1.0,1,4,4.0,6
F,15.0,T,3,3,other,3,2.0,2,4,2.0,8
M,19.0,T,2,3,mother,1,1.0,3,4,,0
F,17.0,T,4,4,mother,1,1.0,0,4,2.0,0
M,15.0,T,3,2,mother,2,1.0,0,4,4.0,2
M,17.0,T,2,1,mother,1,1.0,0,2,2.0,8
F,18.0,T,1,1,mother,1,3.0,3,5,2.0,6
M,16.0,T,2,2,mother,1,3.0,0,4,2.0,2
M,16.0,T,3,3,father,2,1.0,1,4,5.0,4
M,17.0,T,1,2,mother,1,2.0,2,3,3.0,0
M,15.0,T,2,3,mother,2,2.0,2,4,4.0,6
M,16.0,T,2,1,mother,1,2.0,1,4,4.0,0
M,17.0,T,3,1,father,1,1.0,0,5,3.0,2
M,17.0,T,1,1,mother,2,4.0,3,5,3.0,0
M,16.0,T,2,3,mother,1,2.0,1,4,5.0,16
M,16.0,T,2,2,father,2,1.0,0,4,3.0,4
F,16.0,T,2,4,father,2,1.0,0,4,2.0,0
F,16.0,T,2,2,mother,2,1.0,0,5,1.0,0
F,16.0,T,4,4,mother,2,1.0,0,4,4.0,0
M,16.0,T,4,3,father,1,3.0,2,3,4.0,0
M,16.0,T,0,1,mother,2,2.0,0,4,3.0,2
M,17.0,T,4,4,mother,2,1.0,0,4,4.0,0
F,16.0,T,3,1,mother,2,1.0,3,4,3.0,0
F,16.0,T,3,3,mother,2,2.0,0,4,4.0,4
M,17.0,T,3,4,mother,2,2.0,0,4,4.0,4
F,16.0,T,2,2,mother,2,2.0,0,3,4.0,2
M,17.0,T,3,3,father,2,1.0,0,4,3.0,4
M,16.0,T,2,4,mother,1,1.0,0,4,3.0,10
M,17.0,T,3,4,mother,2,1.0,0,5,2.0,4
M,16.0,T,3,4,mother,2,1.0,0,3,4.0,10
M,16.0,T,3,3,mother,2,1.0,0,4,2.0,2
F,17.0,T,4,2,father,2,1.0,0,5,4.0,0
F,17.0,T,3,3,mother,2,1.0,0,5,3.0,56
F,16.0,T,2,3,mother,2,1.0,0,1,2.0,14
M,17.0,T,3,3,mother,2,1.0,0,4,3.0,12
M,16.0,T,2,1,mother,1,1.0,0,3,3.0,2
M,16.0,T,1,2,mother,2,1.0,0,4,2.0,0
F,17.0,A,3,3,mother,2,1.0,0,3,3.0,6
M,17.0,T,2,1,mother,2,1.0,0,3,1.0,4
F,16.0,T,3,2,mother,2,1.0,0,4,3.0,10
F,17.0,T,1,1,mother,2,1.0,0,5,3.0,0
M,17.0,T,2,1,other,2,2.0,0,4,4.0,12
M,16.0,T,3,3,mother,1,1.0,0,4,3.0,8
M,16.0,T,3,2,father,1,2.0,0,5,3.0,0
F,17.0,T,4,2,father,2,1.0,0,4,3.0,0
M,17.0,T,4,4,mother,1,1.0,0,5,2.0,4
M,16.0,T,3,3,father,1,3.0,0,3,3.0,8
F,17.0,T,4,4,mother,1,2.0,1,4,2.0,24
F,16.0,T,4,4,mother,2,1.0,0,4,5.0,0
F,16.0,T,3,4,mother,2,1.0,0,4,3.0,2
F,16.0,T,3,2,mother,2,1.0,0,4,4.0,6
F,17.0,T,1,1,mother,2,1.0,0,4,4.0,4
F,17.0,T,2,2,mother,1,1.0,0,5,3.0,18
F,16.0,T,2,2,mother,4,2.0,0,5,3.0,6
F,17.0,T,4,3,mother,3,1.0,1,4,4.0,28
F,16.0,A,1,3,mother,2,1.0,3,2,3.0,5
F,16.0,T,3,4,mother,2,1.0,0,1,3.0,10
F,16.0,T,1,1,mother,1,2.0,0,4,3.0,6
F,17.0,T,3,4,mother,3,2.0,0,4,4.0,6
F,19.0,T,3,3,other,4,1.0,0,4,3.0,10
M,17.0,T,4,4,mother,2,1.0,0,5,3.0,13
F,16.0,A,2,2,mother,2,1.0,0,3,3.0,0
M,18.0,T,2,2,mother,2,1.0,1,4,4.0,15
F,17.0,T,4,4,mother,1,1.0,0,5,2.0,12
F,17.0,T,2,3,mother,2,2.0,0,4,4.0,2
F,17.0,T,3,4,mother,2,1.0,2,3,4.0,22
M,18.0,T,3,3,father,2,1.0,1,3,2.0,13
F,17.0,T,3,2,father,1,2.0,0,3,3.0,3
F,17.0,T,2,2,mother,3,1.0,0,4,3.0,4
F,17.0,T,1,2,mother,2,2.0,0,4,2.0,2
