InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
563808,22432,WATERING CAN PINK BUNNY,6.0,8/19/2011 11:46,1.95,12626.0,Germany
561645,23166,MEDIUM CERAMIC TOP STORAGE JAR,12.0,7/28/2011 15:16,1.25,14911.0,EIRE
568651,20985,HEART CALCULATOR,12.0,9/28/2011 12:04,1.25,12362.0,Belgium
541711,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,24.0,1/21/2011 11:18,1.25,14646.0,Netherlands
554134,21154,RED RETROSPOT OVEN GLOVE ,10.0,5/23/2011 9:48,1.25,12583.0,France
541122,21242,RED RETROSPOT PLATE ,8.0,1/14/2011 9:23,1.69,12708.0,Germany
555589,22374,AIRLINE BAG VINTAGE JET SET RED,4.0,6/6/2011 9:36,4.25,12802.0,Netherlands
558628,37340,MULTICOLOUR SPRING FLOWER MUG,48.0,6/30/2011 17:59,0.39,12626.0,Germany
C540243,22606,WOODEN SKITTLES GARDEN SET,-1.0,1/5/2011 15:32,15.95,12585.0,Germany
540562,21882,SKULLS TAPE,24.0,1/10/2011 10:35,0.19,12524.0,Germany
561194,22728,ALARM CLOCK BAKELIKE PINK,4.0,7/25/2011 13:54,3.75,13814.0,Germany
542147,22138,BAKING SET 9 PIECE RETROSPOT ,3.0,1/26/2011 10:02,4.95,12782.0,Portugal
555569,23133,LARGE IVORY HEART WALL ORGANISER,8.0,6/5/2011 15:29,7.05,12727.0,France
544996,POST,POSTAGE,2.0,2/25/2011 11:53,18.0,12474.0,Germany
547815,22029,SPACEBOY BIRTHDAY CARD,12.0,3/25/2011 14:19,0.42,13520.0,Switzerland
540469,48111,DOORMAT 3 SMILEY CATS,1.0,1/7/2011 14:04,7.95,12484.0,Spain
577061,22959,WRAP CHRISTMAS VILLAGE,25.0,11/17/2011 14:40,0.42,14911.0,EIRE
545180,21242,RED RETROSPOT PLATE ,8.0,2/28/2011 14:42,1.69,12728.0,France
542278,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3.0,1/27/2011 10:43,4.95,14911.0,EIRE
568650,47590A,BLUE HAPPY BIRTHDAY BUNTING,3.0,9/28/2011 11:56,5.45,13505.0,Switzerland
561901,22950,36 DOILIES VINTAGE CHRISTMAS,288.0,7/31/2011 15:42,1.45,14156.0,EIRE
562935,21931,JUMBO STORAGE BAG SUKI,10.0,8/10/2011 17:11,2.08,14156.0,EIRE
576602,23534,STOP FOR TEA WALL ART,12.0,11/15/2011 15:20,5.35,14156.0,EIRE
C571473,21232,STRAWBERRY CERAMIC TRINKET BOX,-3.0,10/17/2011 14:38,,12679.0,France
544479,22078,RIBBON REEL LACE DESIGN ,120.0,2/21/2011 10:28,1.85,14646.0,Netherlands
544573,20973,12 PENCIL SMALL TUBE WOODLAND,144.0,2/21/2011 13:40,0.65,12621.0,Germany
564734,21211,SET OF 72 SKULL PAPER  DOILIES,3.0,8/28/2011 13:32,1.45,12484.0,Spain
566756,23292,SPACEBOY CHILDRENS CUP,24.0,9/14/2011 15:54,1.25,12457.0,Switzerland
544074,85040A,S/4 PINK FLOWER CANDLES IN BOWL,4.0,2/15/2011 14:49,1.65,14156.0,EIRE
566173,POST,POSTAGE,1.0,9/9/2011 12:24,15.0,12787.0,Netherlands
548606,22398,MAGNETS PACK OF 4 SWALLOWS,60.0,4/1/2011 11:10,1.25,12731.0,France
560590,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12.0,7/19/2011 15:55,1.65,12560.0,Germany
561898,84836,ZINC METAL HEART DECORATION,12.0,7/31/2011 15:25,1.25,12456.0,Switzerland
561257,21713,CITRONELLA CANDLE FLOWERPOT,32.0,7/26/2011 12:00,2.1,14911.0,EIRE
570002,84687,BEACH HUT SHELF W 3 DRAWERS,8.0,10/7/2011 9:16,4.95,12477.0,Germany
539421,22929,SCHOOL DESK AND CHAIR ,1.0,12/17/2010 14:21,65.0,14016.0,EIRE
576787,23374,RED SPOT PAPER GIFT BAG,10.0,11/16/2011 13:54,0.82,13815.0,Germany
554134,20981,12 PENCILS TALL TUBE WOODLAND,12.0,5/23/2011 9:48,0.85,12583.0,France
557872,23111,PARISIENNE SEWING BOX,1.0,6/23/2011 12:42,12.5,14911.0,EIRE
545583,21731,RED TOADSTOOL LED NIGHT LIGHT,12.0,3/4/2011 9:08,1.65,12553.0,France
562045,23256,CHILDRENS CUTLERY SPACEBOY ,4.0,8/2/2011 10:33,4.15,12644.0,Germany
571328,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,12.0,10/17/2011 11:27,1.25,12473.0,Germany
540971,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6.0,1/12/2011 14:10,2.1,12383.0,Belgium
553411,22382,LUNCH BAG SPACEBOY DESIGN ,10.0,5/17/2011 9:28,1.65,12714.0,France
565416,47590A,BLUE HAPPY BIRTHDAY BUNTING,3.0,9/4/2011 12:00,5.45,12710.0,Germany
575049,23292,SPACEBOY CHILDRENS CUP,8.0,11/8/2011 12:13,1.25,12721.0,France
552315,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24.0,5/8/2011 16:10,1.25,12700.0,France
570964,23439,HAND WARMER RED LOVE HEART,12.0,10/13/2011 11:50,2.1,12766.0,Portugal
572559,23318,BOX OF 6 MINI VINTAGE CRACKERS,12.0,10/25/2011 8:44,2.49,12476.0,Germany
550618,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,6.0,4/19/2011 13:09,2.95,14156.0,EIRE
571328,22741,FUNKY DIVA PEN,48.0,10/17/2011 11:27,0.85,12473.0,Germany
577476,22746,POPPY'S PLAYHOUSE LIVINGROOM ,12.0,11/20/2011 11:31,2.1,12540.0,Spain
550620,22634,CHILDS BREAKFAST SET SPACEBOY ,8.0,4/19/2011 13:39,8.5,12585.0,Germany
560445,47566,PARTY BUNTING,72.0,7/19/2011 9:08,4.15,14156.0,EIRE
561645,22697,GREEN REGENCY TEACUP AND SAUCER,48.0,7/28/2011 15:16,2.55,14911.0,EIRE
575144,22847,BREAD BIN DINER STYLE IVORY,1.0,11/8/2011 15:38,16.95,12540.0,Spain
543900,17003,BROCADE RING PURSE ,36.0,2/14/2011 12:11,0.29,12621.0,Germany
579102,22505,MEMO BOARD COTTAGE DESIGN,4.0,11/28/2011 11:33,4.95,14911.0,EIRE
571409,21791,VINTAGE HEADS AND TAILS CARD GAME ,24.0,10/17/2011 12:25,1.25,14911.0,EIRE
549435,22423,REGENCY CAKESTAND 3 TIER,4.0,4/8/2011 12:33,12.75,12356.0,Portugal
569122,21086,SET/6 RED SPOTTY PAPER CUPS,24.0,9/30/2011 13:06,0.65,12694.0,France
558262,23122,PARTY CHARMS 50 PIECES,144.0,6/28/2011 8:45,0.72,14646.0,Netherlands
576087,23388,WOODLAND MINI BACKPACK,4.0,11/14/2011 8:31,4.15,12689.0,France
542629,22630,DOLLY GIRL LUNCH BOX,12.0,1/31/2011 9:57,1.95,12731.0,France
552211,22348,TEA BAG PLATE RED RETROSPOT,24.0,5/6/2011 15:01,0.85,12709.0,Germany
581175,22483,RED GINGHAM TEDDY BEAR ,48.0,12/7/2011 15:16,2.55,14646.0,Netherlands
559173,23076,ICE CREAM SUNDAE LIP GLOSS,24.0,7/7/2011 10:03,1.25,12540.0,Spain
568988,22133,PINK LOVE HEART SHAPE CUP,12.0,9/29/2011 16:38,0.85,12718.0,France
577355,23174,REGENCY SUGAR BOWL GREEN,4.0,11/18/2011 15:53,4.15,14911.0,EIRE
576657,22378,WALL TIDY RETROSPOT ,5.0,11/16/2011 11:03,2.1,12720.0,Germany
570674,23083,SET 6 PAPER TABLE LANTERN STARS ,6.0,10/11/2011 14:59,3.75,14911.0,EIRE
552978,22505,MEMO BOARD COTTAGE DESIGN,24.0,5/12/2011 14:46,4.25,12590.0,Germany
557055,POST,POSTAGE,2.0,6/16/2011 14:45,18.0,12621.0,Germany
540976,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6.0,1/12/2011 15:00,2.95,12652.0,France
544479,85194L,HANGING SPRING FLOWER EGG LARGE,144.0,2/21/2011 10:28,0.72,14646.0,Netherlands
559665,22776,SWEETHEART CAKESTAND 3 TIER,1.0,7/11/2011 13:35,9.95,12556.0,Spain
551346,23206,LUNCH BAG APPLE DESIGN,10.0,4/28/2011 9:12,1.65,12362.0,Belgium
573892,23198,PANTRY MAGNETIC  SHOPPING LIST,12.0,11/1/2011 13:57,1.45,14911.0,EIRE
C555935,22628,PICNIC BOXES SET OF 3 RETROSPOT ,-4.0,6/8/2011 9:14,4.95,12567.0,France
543541,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2.0,2/9/2011 14:44,9.95,12462.0,Spain
545295,22625,RED KITCHEN SCALES,20.0,3/1/2011 12:09,7.65,12709.0,Germany
570672,22959,WRAP CHRISTMAS VILLAGE,25.0,10/11/2011 14:52,0.42,12536.0,France
572887,22193,RED DINER WALL CLOCK,2.0,10/26/2011 13:47,8.5,12362.0,Belgium
542777,21470,FLOWER VINE RAFFIA FOOD COVER,6.0,2/1/2011 8:31,3.75,14911.0,EIRE
554106,22434,BALLOON PUMP WITH 10 BALLOONS,8.0,5/22/2011 14:05,1.95,12710.0,Germany
557872,22189,CREAM HEART CARD HOLDER,4.0,6/23/2011 12:42,3.95,14911.0,EIRE
553316,22908,PACK OF 20 NAPKINS RED APPLES,12.0,5/16/2011 12:04,0.85,12682.0,France
539731,22859,EASTER TIN BUNNY BOUQUET,108.0,12/21/2010 15:05,1.45,14646.0,Netherlands
569893,20726,LUNCH BAG WOODLAND,20.0,10/6/2011 15:51,1.65,12627.0,Germany
545709,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6.0,3/7/2011 9:49,2.95,12708.0,Germany
570841,22622,BOX OF VINTAGE ALPHABET BLOCKS,4.0,10/12/2011 14:18,11.95,12553.0,France
569402,22457,NATURAL SLATE HEART CHALKBOARD ,6.0,10/4/2011 9:00,2.95,12413.0,France
568095,23437, 50'S CHRISTMAS GIFT BAG LARGE,48.0,9/23/2011 14:49,1.25,14911.0,EIRE
557295,22383,LUNCH BAG SUKI DESIGN ,10.0,6/19/2011 13:37,1.65,12724.0,France
581098,21534,DAIRY MAID LARGE MILK JUG,6.0,12/7/2011 11:42,4.95,14911.0,EIRE
570016,22847,BREAD BIN DINER STYLE IVORY,1.0,10/7/2011 10:06,16.95,14911.0,EIRE
580705,21154,RED RETROSPOT OVEN GLOVE ,10.0,12/5/2011 16:28,1.25,12683.0,France
565930,23159,SET OF 5 PANCAKE DAY MAGNETS,12.0,9/8/2011 10:32,2.08,12685.0,France
549316,22355,CHARLOTTE BAG SUKI DESIGN,20.0,4/8/2011 9:54,0.85,12705.0,Germany
575880,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6.0,11/11/2011 13:35,2.1,12726.0,France
